county,precinct,office,district,candidate,party,election_day,early_voting,mail,provisional,other,votes
Taylor,5-Steinhatchee Comm Cntr,State Representative,7,Undervotes,,17,8,13,0,0,38
Taylor,5-Steinhatchee Comm Cntr,State Representative,7,Overvotes,,0,0,0,0,0,0
Taylor,6-Shady Gr Missnry Bapt Ch,Registered Voters,,,,,,,,,565
Taylor,6-Shady Gr Missnry Bapt Ch,Ballots Cast,,,,162,139,188,2,1,492
Taylor,6-Shady Gr Missnry Bapt Ch,President,,Donald J. Trump,REP,142,129,154,1,1,427
Taylor,6-Shady Gr Missnry Bapt Ch,President,,Joseph R. Biden,DEM,20,9,32,1,0,62
Taylor,6-Shady Gr Missnry Bapt Ch,President,,Jo Jorgensen,LPF,0,0,1,0,0,1
Taylor,6-Shady Gr Missnry Bapt Ch,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0,0
Taylor,6-Shady Gr Missnry Bapt Ch,President,,Gloria La Riva,PSL,0,0,0,0,0,0
Taylor,6-Shady Gr Missnry Bapt Ch,President,,Howie Hawkins,GRE,0,0,1,0,0,1
Taylor,6-Shady Gr Missnry Bapt Ch,President,,Don Blankenship,CPF,0,0,0,0,0,0
Taylor,6-Shady Gr Missnry Bapt Ch,President,,Write-in,,0,0,0,0,0,0
Taylor,6-Shady Gr Missnry Bapt Ch,President,,Undervotes,,0,1,0,0,0,1
Taylor,6-Shady Gr Missnry Bapt Ch,President,,Overvotes,,0,0,0,0,0,0
Taylor,6-Shady Gr Missnry Bapt Ch,U.S. House,2,Neal Dunn,REP,138,131,158,1,0,428
Taylor,6-Shady Gr Missnry Bapt Ch,U.S. House,2,Write-in,,2,1,3,0,0,6
Taylor,6-Shady Gr Missnry Bapt Ch,U.S. House,2,Undervotes,,22,7,27,1,1,58
Taylor,6-Shady Gr Missnry Bapt Ch,U.S. House,2,Overvotes,,0,0,0,0,0,0
Taylor,6-Shady Gr Missnry Bapt Ch,State Senate,3,Marva Harris Preston,REP,131,129,148,1,0,409
Taylor,6-Shady Gr Missnry Bapt Ch,State Senate,3,Loranne Ausley,DEM,20,10,37,1,0,68
Taylor,6-Shady Gr Missnry Bapt Ch,State Senate,3,Undervotes,,11,0,3,0,1,15
Taylor,6-Shady Gr Missnry Bapt Ch,State Senate,3,Overvotes,,0,0,0,0,0,0
Taylor,6-Shady Gr Missnry Bapt Ch,State Representative,7,Jason Shoaf,REP,131,130,157,1,0,419
Taylor,6-Shady Gr Missnry Bapt Ch,State Representative,7,Taymour Khan,DEM,18,6,23,1,0,48
Taylor,6-Shady Gr Missnry Bapt Ch,State Representative,7,Undervotes,,13,3,8,0,1,25
Taylor,6-Shady Gr Missnry Bapt Ch,State Representative,7,Overvotes,,0,0,0,0,0,0
Taylor,7-Johnson Strip Rd Voting,Registered Voters,,,,,,,,,1434
Taylor,7-Johnson Strip Rd Voting,Ballots Cast,,,,261,615,294,5,0,1175
Taylor,7-Johnson Strip Rd Voting,President,,Donald J. Trump,REP,235,560,255,4,0,1054
Taylor,7-Johnson Strip Rd Voting,President,,Joseph R. Biden,DEM,25,48,36,1,0,110
Taylor,7-Johnson Strip Rd Voting,President,,Jo Jorgensen,LPF,1,2,1,0,0,4
Taylor,7-Johnson Strip Rd Voting,President,,"Roque ""Rocky"" De La Fuente",REF,0,1,0,0,0,1
Taylor,7-Johnson Strip Rd Voting,President,,Gloria La Riva,PSL,0,0,0,0,0,0
Taylor,7-Johnson Strip Rd Voting,President,,Howie Hawkins,GRE,0,0,0,0,0,0
Taylor,7-Johnson Strip Rd Voting,President,,Don Blankenship,CPF,0,0,0,0,0,0
Taylor,7-Johnson Strip Rd Voting,President,,Write-in,,0,1,0,0,0,1
Taylor,7-Johnson Strip Rd Voting,President,,Undervotes,,0,3,0,0,0,3
Taylor,7-Johnson Strip Rd Voting,President,,Overvotes,,0,0,2,0,0,2
Taylor,7-Johnson Strip Rd Voting,U.S. House,2,Neal Dunn,REP,240,573,261,5,0,1079
Taylor,7-Johnson Strip Rd Voting,U.S. House,2,Write-in,,3,12,6,0,0,21
Taylor,7-Johnson Strip Rd Voting,U.S. House,2,Undervotes,,18,30,27,0,0,75
Taylor,7-Johnson Strip Rd Voting,U.S. House,2,Overvotes,,0,0,0,0,0,0
