candidate,office,district,party,county,precinct,votes,election_day,early_voting,mail
Under Votes,State Senate,5,,Clay,202 - The Springs Church,64,19,30,15
Sam Garrison,State House,18,REP,Clay,202 - The Springs Church,1434,350,775,309
Leroy Anthony Edwards,State House,18,DEM,Clay,202 - The Springs Church,848,157,391,300
Ken Willey,State House,18,LPF,Clay,202 - The Springs Church,113,50,50,13
Over Votes,State House,18,,Clay,202 - The Springs Church,0,0,0,0
Under Votes,State House,18,,Clay,202 - The Springs Church,53,16,27,10
Registered Voters,,,,Clay,204 - Outreach of America,2967,,,
Ballots Cast,,,,Clay,204 - Outreach of America,1987,377,999,611
Ballots Cast Blank,,,,Clay,204 - Outreach of America,46,5,26,15
Donald J Trump,President ,,REP,Clay,204 - Outreach of America,1164,254,619,291
Joseph R Biden,President ,,DEM,Clay,204 - Outreach of America,789,114,368,307
Jo Jorgensen ,President ,,LPF,Clay,204 - Outreach of America,21,8,5,8
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,204 - Outreach of America,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,204 - Outreach of America,3,0,2,1
Howie Hawkins,President ,,GRE,Clay,204 - Outreach of America,2,1,1,0
Don Blankenship,President ,,CPF,Clay,204 - Outreach of America,0,0,0,0
Write-In,President ,,NPA,Clay,204 - Outreach of America,3,0,3,0
Over Votes,President ,,,Clay,204 - Outreach of America,1,0,0,1
Under Votes,President ,,,Clay,204 - Outreach of America,4,0,1,3
Kat Cammack,US House,3,REP,Clay,204 - Outreach of America,1160,260,610,290
Adam Christensen,US House,3,DEM,Clay,204 - Outreach of America,788,112,365,311
Over Votes,US House,3,,Clay,204 - Outreach of America,0,0,0,0
Under Votes,US House,3,,Clay,204 - Outreach of America,39,5,24,10
Jennifer Bradley,State Senate,5,REP,Clay,204 - Outreach of America,1200,263,624,313
Melina Rayna Barratt,State Senate,5,DEM,Clay,204 - Outreach of America,734,106,347,281
Over Votes,State Senate,5,,Clay,204 - Outreach of America,0,0,0,0
Under Votes,State Senate,5,,Clay,204 - Outreach of America,53,8,28,17
Sam Garrison,State House,18,REP,Clay,204 - Outreach of America,1162,252,613,297
Leroy Anthony Edwards,State House,18,DEM,Clay,204 - Outreach of America,700,98,329,273
Ken Willey,State House,18,LPF,Clay,204 - Outreach of America,70,17,28,25
Over Votes,State House,18,,Clay,204 - Outreach of America,0,0,0,0
Under Votes,State House,18,,Clay,204 - Outreach of America,55,10,29,16
Registered Voters,,,,Clay,206 - Orange Park Town,1704,,,
Ballots Cast,,,,Clay,206 - Orange Park Town,1190,219,613,368
Ballots Cast Blank,,,,Clay,206 - Orange Park Town,32,5,18,9
Donald J Trump,President ,,REP,Clay,206 - Orange Park Town,706,136,386,184
Joseph R Biden,President ,,DEM,Clay,206 - Orange Park Town,457,80,204,173
Jo Jorgensen ,President ,,LPF,Clay,206 - Orange Park Town,9,1,6,2
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,206 - Orange Park Town,1,1,0,0
Gloria La Riva ,President ,,PSL,Clay,206 - Orange Park Town,1,0,1,0
Howie Hawkins,President ,,GRE,Clay,206 - Orange Park Town,3,0,2,1
Don Blankenship,President ,,CPF,Clay,206 - Orange Park Town,0,0,0,0
Write-In,President ,,NPA,Clay,206 - Orange Park Town,5,1,3,1
Over Votes,President ,,,Clay,206 - Orange Park Town,5,0,0,5
Under Votes,President ,,,Clay,206 - Orange Park Town,3,0,1,2
Kat Cammack,US House,3,REP,Clay,206 - Orange Park Town,704,136,381,187
Adam Christensen,US House,3,DEM,Clay,206 - Orange Park Town,455,78,203,174
Over Votes,US House,3,,Clay,206 - Orange Park Town,1,0,0,1
Under Votes,US House,3,,Clay,206 - Orange Park Town,30,5,19,6
Jennifer Bradley,State Senate,5,REP,Clay,206 - Orange Park Town,736,140,398,198
Melina Rayna Barratt,State Senate,5,DEM,Clay,206 - Orange Park Town,412,70,184,158
Over Votes,State Senate,5,,Clay,206 - Orange Park Town,0,0,0,0
Under Votes,State Senate,5,,Clay,206 - Orange Park Town,42,9,21,12
Sam Garrison,State House,18,REP,Clay,206 - Orange Park Town,704,128,387,189
Leroy Anthony Edwards,State House,18,DEM,Clay,206 - Orange Park Town,404,68,179,157
Ken Willey,State House,18,LPF,Clay,206 - Orange Park Town,43,11,16,16
Over Votes,State House,18,,Clay,206 - Orange Park Town,1,0,1,0
Under Votes,State House,18,,Clay,206 - Orange Park Town,38,12,20,6
Registered Voters,,,,Clay,208 - Club Continental ,1669,,,
Ballots Cast,,,,Clay,208 - Club Continental ,1248,225,492,531
Ballots Cast Blank,,,,Clay,208 - Club Continental ,44,4,15,25
Donald J Trump,President ,,REP,Clay,208 - Club Continental ,761,158,329,274
Joseph R Biden,President ,,DEM,Clay,208 - Club Continental ,456,62,155,239
Jo Jorgensen ,President ,,LPF,Clay,208 - Club Continental ,12,3,5,4
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,208 - Club Continental ,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,208 - Club Continental ,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,208 - Club Continental ,5,0,2,3
Don Blankenship,President ,,CPF,Clay,208 - Club Continental ,0,0,0,0
Write-In,President ,,NPA,Clay,208 - Club Continental ,5,2,0,3
Over Votes,President ,,,Clay,208 - Club Continental ,6,0,0,6
Under Votes,President ,,,Clay,208 - Club Continental ,3,0,1,2
Kat Cammack,US House,3,REP,Clay,208 - Club Continental ,772,155,332,285
Adam Christensen,US House,3,DEM,Clay,208 - Club Continental ,429,63,147,219
Over Votes,US House,3,,Clay,208 - Club Continental ,0,0,0,0
Under Votes,US House,3,,Clay,208 - Club Continental ,47,7,13,27
Jennifer Bradley,State Senate,5,REP,Clay,208 - Club Continental ,799,162,344,293
Melina Rayna Barratt,State Senate,5,DEM,Clay,208 - Club Continental ,390,54,129,207
Over Votes,State Senate,5,,Clay,208 - Club Continental ,0,0,0,0
Under Votes,State Senate,5,,Clay,208 - Club Continental ,59,9,19,31
Sam Garrison,State House,18,REP,Clay,208 - Club Continental ,772,148,339,285
Leroy Anthony Edwards,State House,18,DEM,Clay,208 - Club Continental ,377,56,127,194
Ken Willey,State House,18,LPF,Clay,208 - Club Continental ,34,13,9,12
Over Votes,State House,18,,Clay,208 - Club Continental ,1,0,0,1
Under Votes,State House,18,,Clay,208 - Club Continental ,64,8,17,39
Registered Voters,,,,Clay,210 - Orange Park Library,3378,,,
Ballots Cast,,,,Clay,210 - Orange Park Library,2544,330,1467,747
Ballots Cast Blank,,,,Clay,210 - Orange Park Library,43,6,24,13
Donald J Trump,President ,,REP,Clay,210 - Orange Park Library,1647,241,1009,397
Joseph R Biden,President ,,DEM,Clay,210 - Orange Park Library,856,75,443,338
Jo Jorgensen ,President ,,LPF,Clay,210 - Orange Park Library,25,7,13,5
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,210 - Orange Park Library,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,210 - Orange Park Library,2,1,0,1
Howie Hawkins,President ,,GRE,Clay,210 - Orange Park Library,3,3,0,0
Don Blankenship,President ,,CPF,Clay,210 - Orange Park Library,2,1,0,1
Write-In,President ,,NPA,Clay,210 - Orange Park Library,2,0,0,2
Over Votes,President ,,,Clay,210 - Orange Park Library,3,0,0,3
Under Votes,President ,,,Clay,210 - Orange Park Library,4,2,2,0
Kat Cammack,US House,3,REP,Clay,210 - Orange Park Library,1662,246,1008,408
Adam Christensen,US House,3,DEM,Clay,210 - Orange Park Library,846,74,444,328
Over Votes,US House,3,,Clay,210 - Orange Park Library,1,0,1,0
Under Votes,US House,3,,Clay,210 - Orange Park Library,35,10,14,11
Jennifer Bradley,State Senate,5,REP,Clay,210 - Orange Park Library,1719,253,1031,435
Melina Rayna Barratt,State Senate,5,DEM,Clay,210 - Orange Park Library,763,64,405,294
Over Votes,State Senate,5,,Clay,210 - Orange Park Library,1,0,1,0
Under Votes,State Senate,5,,Clay,210 - Orange Park Library,61,13,30,18
Sam Garrison,State House,18,REP,Clay,210 - Orange Park Library,1660,238,1003,419
Leroy Anthony Edwards,State House,18,DEM,Clay,210 - Orange Park Library,740,61,391,288
Ken Willey,State House,18,LPF,Clay,210 - Orange Park Library,89,20,46,23
Over Votes,State House,18,,Clay,210 - Orange Park Library,0,0,0,0
Under Votes,State House,18,,Clay,210 - Orange Park Library,55,11,27,17
Registered Voters,,,,Clay,216 - Lakeside Church of Chris,4264,,,
Ballots Cast,,,,Clay,216 - Lakeside Church of Chris,3297,695,1695,907
Ballots Cast Blank,,,,Clay,216 - Lakeside Church of Chris,50,7,29,14
Donald J Trump,President ,,REP,Clay,216 - Lakeside Church of Chris,2331,558,1285,488
Joseph R Biden,President ,,DEM,Clay,216 - Lakeside Church of Chris,897,123,379,395
Jo Jorgensen ,President ,,LPF,Clay,216 - Lakeside Church of Chris,43,12,19,12
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,216 - Lakeside Church of Chris,2,0,1,1
Gloria La Riva ,President ,,PSL,Clay,216 - Lakeside Church of Chris,2,1,1,0
Howie Hawkins,President ,,GRE,Clay,216 - Lakeside Church of Chris,2,0,1,1
Don Blankenship,President ,,CPF,Clay,216 - Lakeside Church of Chris,3,1,2,0
Write-In,President ,,NPA,Clay,216 - Lakeside Church of Chris,6,0,3,3
Over Votes,President ,,,Clay,216 - Lakeside Church of Chris,3,0,0,3
Under Votes,President ,,,Clay,216 - Lakeside Church of Chris,8,0,4,4
Kat Cammack,US House,3,REP,Clay,216 - Lakeside Church of Chris,2350,558,1292,500
Adam Christensen,US House,3,DEM,Clay,216 - Lakeside Church of Chris,890,128,373,389
Over Votes,US House,3,,Clay,216 - Lakeside Church of Chris,0,0,0,0
Under Votes,US House,3,,Clay,216 - Lakeside Church of Chris,57,9,30,18
Jennifer Bradley,State Senate,5,REP,Clay,216 - Lakeside Church of Chris,2427,567,1320,540
Melina Rayna Barratt,State Senate,5,DEM,Clay,216 - Lakeside Church of Chris,776,111,327,338
Over Votes,State Senate,5,,Clay,216 - Lakeside Church of Chris,0,0,0,0
Under Votes,State Senate,5,,Clay,216 - Lakeside Church of Chris,94,17,48,29
Sam Garrison,State House,18,REP,Clay,216 - Lakeside Church of Chris,2348,534,1289,525
Leroy Anthony Edwards,State House,18,DEM,Clay,216 - Lakeside Church of Chris,758,103,322,333
Ken Willey,State House,18,LPF,Clay,216 - Lakeside Church of Chris,117,41,49,27
Over Votes,State House,18,,Clay,216 - Lakeside Church of Chris,0,0,0,0
Under Votes,State House,18,,Clay,216 - Lakeside Church of Chris,74,17,35,22
Registered Voters,,,,Clay,218 - Orange Park Christian Church,3386,,,
Ballots Cast,,,,Clay,218 - Orange Park Christian Church,2556,510,1391,655
Ballots Cast Blank,,,,Clay,218 - Orange Park Christian Church,66,15,35,16
Donald J Trump,President ,,REP,Clay,218 - Orange Park Christian Church,1838,408,1073,357
Joseph R Biden,President ,,DEM,Clay,218 - Orange Park Christian Church,682,94,303,285
Jo Jorgensen ,President ,,LPF,Clay,218 - Orange Park Christian Church,24,6,10,8
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,218 - Orange Park Christian Church,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,218 - Orange Park Christian Church,1,1,0,0
Howie Hawkins,President ,,GRE,Clay,218 - Orange Park Christian Church,1,0,1,0
Don Blankenship,President ,,CPF,Clay,218 - Orange Park Christian Church,0,0,0,0
Write-In,President ,,NPA,Clay,218 - Orange Park Christian Church,5,1,2,2
Over Votes,President ,,,Clay,218 - Orange Park Christian Church,1,0,0,1
Under Votes,President ,,,Clay,218 - Orange Park Christian Church,4,0,2,2
Kat Cammack,US House,3,REP,Clay,218 - Orange Park Christian Church,1813,400,1061,352
Adam Christensen,US House,3,DEM,Clay,218 - Orange Park Christian Church,677,93,295,289
Over Votes,US House,3,,Clay,218 - Orange Park Christian Church,0,0,0,0
Under Votes,US House,3,,Clay,218 - Orange Park Christian Church,66,17,35,14
Jennifer Bradley,State Senate,5,REP,Clay,218 - Orange Park Christian Church,1859,407,1084,368
Melina Rayna Barratt,State Senate,5,DEM,Clay,218 - Orange Park Christian Church,602,83,256,263
Over Votes,State Senate,5,,Clay,218 - Orange Park Christian Church,1,0,1,0
Under Votes,State Senate,5,,Clay,218 - Orange Park Christian Church,94,20,50,24
Sam Garrison,State House,18,REP,Clay,218 - Orange Park Christian Church,1785,390,1041,354
Leroy Anthony Edwards,State House,18,DEM,Clay,218 - Orange Park Christian Church,597,82,258,257
Ken Willey,State House,18,LPF,Clay,218 - Orange Park Christian Church,81,14,43,24
Over Votes,State House,18,,Clay,218 - Orange Park Christian Church,0,0,0,0
Under Votes,State House,18,,Clay,218 - Orange Park Christian Church,93,24,49,20
Registered Voters,,,,Clay,302 -  Thrasher - Horne Conf Cntr,4904,,,
Ballots Cast,,,,Clay,302 -  Thrasher - Horne Conf Cntr,3405,656,1812,937
Ballots Cast Blank,,,,Clay,302 -  Thrasher - Horne Conf Cntr,75,20,40,15
Donald J Trump,President ,,REP,Clay,302 -  Thrasher - Horne Conf Cntr,2230,473,1314,443
Joseph R Biden,President ,,DEM,Clay,302 -  Thrasher - Horne Conf Cntr,1104,166,470,468
Jo Jorgensen ,President ,,LPF,Clay,302 -  Thrasher - Horne Conf Cntr,42,10,15,17
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,302 -  Thrasher - Horne Conf Cntr,1,0,1,0
Gloria La Riva ,President ,,PSL,Clay,302 -  Thrasher - Horne Conf Cntr,3,3,0,0
Howie Hawkins,President ,,GRE,Clay,302 -  Thrasher - Horne Conf Cntr,4,0,4,0
Don Blankenship,President ,,CPF,Clay,302 -  Thrasher - Horne Conf Cntr,2,1,0,1
Write-In,President ,,NPA,Clay,302 -  Thrasher - Horne Conf Cntr,11,2,5,4
Over Votes,President ,,,Clay,302 -  Thrasher - Horne Conf Cntr,2,1,1,0
Under Votes,President ,,,Clay,302 -  Thrasher - Horne Conf Cntr,6,0,2,4
Kat Cammack,US House,3,REP,Clay,302 -  Thrasher - Horne Conf Cntr,2218,463,1301,454
Adam Christensen,US House,3,DEM,Clay,302 -  Thrasher - Horne Conf Cntr,1121,173,479,469
Over Votes,US House,3,,Clay,302 -  Thrasher - Horne Conf Cntr,0,0,0,0
Under Votes,US House,3,,Clay,302 -  Thrasher - Horne Conf Cntr,66,20,32,14
Jennifer Bradley,State Senate,5,REP,Clay,302 -  Thrasher - Horne Conf Cntr,2264,466,1325,473
Melina Rayna Barratt,State Senate,5,DEM,Clay,302 -  Thrasher - Horne Conf Cntr,1049,171,444,434
Over Votes,State Senate,5,,Clay,302 -  Thrasher - Horne Conf Cntr,0,0,0,0
Under Votes,State Senate,5,,Clay,302 -  Thrasher - Horne Conf Cntr,92,19,43,30
Sam Garrison,State House,18,REP,Clay,302 -  Thrasher - Horne Conf Cntr,2199,453,1294,452
Leroy Anthony Edwards,State House,18,DEM,Clay,302 -  Thrasher - Horne Conf Cntr,983,150,418,415
Ken Willey,State House,18,LPF,Clay,302 -  Thrasher - Horne Conf Cntr,130,31,56,43
Over Votes,State House,18,,Clay,302 -  Thrasher - Horne Conf Cntr,0,0,0,0
Under Votes,State House,18,,Clay,302 -  Thrasher - Horne Conf Cntr,93,22,44,27
Registered Voters,,,,Clay,304 - Clay county Salvation Ar,4398,,,
Ballots Cast,,,,Clay,304 - Clay county Salvation Ar,3235,645,1734,856
Ballots Cast Blank,,,,Clay,304 - Clay county Salvation Ar,99,22,57,20
Donald J Trump,President ,,REP,Clay,304 - Clay county Salvation Ar,2133,482,1233,418
Joseph R Biden,President ,,DEM,Clay,304 - Clay county Salvation Ar,1033,153,470,410
Jo Jorgensen ,President ,,LPF,Clay,304 - Clay county Salvation Ar,33,3,16,14
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,304 - Clay county Salvation Ar,5,0,3,2
Gloria La Riva ,President ,,PSL,Clay,304 - Clay county Salvation Ar,3,0,2,1
Howie Hawkins,President ,,GRE,Clay,304 - Clay county Salvation Ar,3,1,1,1
Don Blankenship,President ,,CPF,Clay,304 - Clay county Salvation Ar,0,0,0,0
Write-In,President ,,NPA,Clay,304 - Clay county Salvation Ar,9,3,4,2
Over Votes,President ,,,Clay,304 - Clay county Salvation Ar,7,1,1,5
Under Votes,President ,,,Clay,304 - Clay county Salvation Ar,9,2,4,3
Kat Cammack,US House,3,REP,Clay,304 - Clay county Salvation Ar,2098,468,1219,411
Adam Christensen,US House,3,DEM,Clay,304 - Clay county Salvation Ar,1049,161,471,417
Over Votes,US House,3,,Clay,304 - Clay county Salvation Ar,2,0,2,0
Under Votes,US House,3,,Clay,304 - Clay county Salvation Ar,86,16,42,28
Jennifer Bradley,State Senate,5,REP,Clay,304 - Clay county Salvation Ar,2161,475,1242,444
Melina Rayna Barratt,State Senate,5,DEM,Clay,304 - Clay county Salvation Ar,965,148,440,377
Over Votes,State Senate,5,,Clay,304 - Clay county Salvation Ar,0,0,0,0
Under Votes,State Senate,5,,Clay,304 - Clay county Salvation Ar,109,22,52,35
Sam Garrison,State House,18,REP,Clay,304 - Clay county Salvation Ar,2089,460,1201,428
Leroy Anthony Edwards,State House,18,DEM,Clay,304 - Clay county Salvation Ar,935,138,426,371
Ken Willey,State House,18,LPF,Clay,304 - Clay county Salvation Ar,94,25,50,19
Over Votes,State House,18,,Clay,304 - Clay county Salvation Ar,0,0,0,0
Under Votes,State House,18,,Clay,304 - Clay county Salvation Ar,117,22,57,38
Registered Voters,,,,Clay,308 - Frat Order of Police #10,3137,,,
Ballots Cast,,,,Clay,308 - Frat Order of Police #10,2276,426,1295,555
Ballots Cast Blank,,,,Clay,308 - Frat Order of Police #10,55,15,23,17
Donald J Trump,President ,,REP,Clay,308 - Frat Order of Police #10,1521,321,922,278
Joseph R Biden,President ,,DEM,Clay,308 - Frat Order of Police #10,721,97,358,266
Jo Jorgensen ,President ,,LPF,Clay,308 - Frat Order of Police #10,21,6,9,6
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,308 - Frat Order of Police #10,3,2,0,1
Gloria La Riva ,President ,,PSL,Clay,308 - Frat Order of Police #10,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,308 - Frat Order of Police #10,3,0,3,0
Don Blankenship,President ,,CPF,Clay,308 - Frat Order of Police #10,1,0,1,0
Write-In,President ,,NPA,Clay,308 - Frat Order of Police #10,3,0,0,3
Over Votes,President ,,,Clay,308 - Frat Order of Police #10,0,0,0,0
Under Votes,President ,,,Clay,308 - Frat Order of Police #10,3,0,2,1
Kat Cammack,US House,3,REP,Clay,308 - Frat Order of Police #10,1489,314,903,272
Adam Christensen,US House,3,DEM,Clay,308 - Frat Order of Police #10,723,95,363,265
Over Votes,US House,3,,Clay,308 - Frat Order of Police #10,1,1,0,0
Under Votes,US House,3,,Clay,308 - Frat Order of Police #10,63,16,29,18
Jennifer Bradley,State Senate,5,REP,Clay,308 - Frat Order of Police #10,1539,320,923,296
Melina Rayna Barratt,State Senate,5,DEM,Clay,308 - Frat Order of Police #10,668,89,338,241
Over Votes,State Senate,5,,Clay,308 - Frat Order of Police #10,0,0,0,0
Under Votes,State Senate,5,,Clay,308 - Frat Order of Police #10,69,17,34,18
Sam Garrison,State House,18,REP,Clay,308 - Frat Order of Police #10,1478,303,896,279
Leroy Anthony Edwards,State House,18,DEM,Clay,308 - Frat Order of Police #10,644,86,320,238
Ken Willey,State House,18,LPF,Clay,308 - Frat Order of Police #10,71,18,36,17
Over Votes,State House,18,,Clay,308 - Frat Order of Police #10,0,0,0,0
Under Votes,State House,18,,Clay,308 - Frat Order of Police #10,83,19,43,21
Registered Voters,,,,Clay,310 - Clay County Shrine Club,3093,,,
Ballots Cast,,,,Clay,310 - Clay County Shrine Club,2451,552,1330,569
Ballots Cast Blank,,,,Clay,310 - Clay County Shrine Club,60,12,37,11
Donald J Trump,President ,,REP,Clay,310 - Clay County Shrine Club,1906,476,1081,349
Joseph R Biden,President ,,DEM,Clay,310 - Clay County Shrine Club,497,62,230,205
Jo Jorgensen ,President ,,LPF,Clay,310 - Clay County Shrine Club,24,11,8,5
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,310 - Clay County Shrine Club,2,1,0,1
Gloria La Riva ,President ,,PSL,Clay,310 - Clay County Shrine Club,1,0,0,1
Howie Hawkins,President ,,GRE,Clay,310 - Clay County Shrine Club,4,1,3,0
Don Blankenship,President ,,CPF,Clay,310 - Clay County Shrine Club,1,0,1,0
Write-In,President ,,NPA,Clay,310 - Clay County Shrine Club,8,0,5,3
Over Votes,President ,,,Clay,310 - Clay County Shrine Club,5,0,2,3
Under Votes,President ,,,Clay,310 - Clay County Shrine Club,3,1,0,2
Kat Cammack,US House,3,REP,Clay,310 - Clay County Shrine Club,1885,470,1066,349
Adam Christensen,US House,3,DEM,Clay,310 - Clay County Shrine Club,517,71,238,208
Over Votes,US House,3,,Clay,310 - Clay County Shrine Club,0,0,0,0
Under Votes,US House,3,,Clay,310 - Clay County Shrine Club,49,11,26,12
Jennifer Bradley,State Senate,5,REP,Clay,310 - Clay County Shrine Club,1938,481,1081,376
Melina Rayna Barratt,State Senate,5,DEM,Clay,310 - Clay County Shrine Club,448,55,213,180
Over Votes,State Senate,5,,Clay,310 - Clay County Shrine Club,0,0,0,0
Under Votes,State Senate,5,,Clay,310 - Clay County Shrine Club,65,16,36,13
Sam Garrison,State House,18,REP,Clay,310 - Clay County Shrine Club,1895,476,1060,359
Leroy Anthony Edwards,State House,18,DEM,Clay,310 - Clay County Shrine Club,435,49,203,183
Ken Willey,State House,18,LPF,Clay,310 - Clay County Shrine Club,60,14,35,11
Over Votes,State House,18,,Clay,310 - Clay County Shrine Club,0,0,0,0
Under Votes,State House,18,,Clay,310 - Clay County Shrine Club,61,13,32,16
Registered Voters,,,,Clay,400 - Orange Cove 7th Day Adv,2824,,,
Ballots Cast,,,,Clay,400 - Orange Cove 7th Day Adv,2327,289,1328,710
Ballots Cast Blank,,,,Clay,400 - Orange Cove 7th Day Adv,59,10,37,12
Donald J Trump,President ,,REP,Clay,400 - Orange Cove 7th Day Adv,1700,242,1054,404
Joseph R Biden,President ,,DEM,Clay,400 - Orange Cove 7th Day Adv,592,40,259,293
Jo Jorgensen ,President ,,LPF,Clay,400 - Orange Cove 7th Day Adv,18,6,6,6
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,400 - Orange Cove 7th Day Adv,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,400 - Orange Cove 7th Day Adv,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,400 - Orange Cove 7th Day Adv,2,0,1,1
Don Blankenship,President ,,CPF,Clay,400 - Orange Cove 7th Day Adv,2,1,0,1
Write-In,President ,,NPA,Clay,400 - Orange Cove 7th Day Adv,5,0,2,3
Over Votes,President ,,,Clay,400 - Orange Cove 7th Day Adv,1,0,1,0
Under Votes,President ,,,Clay,400 - Orange Cove 7th Day Adv,7,0,5,2
Kat Cammack,US House,3,REP,Clay,400 - Orange Cove 7th Day Adv,1690,240,1040,410
Adam Christensen,US House,3,DEM,Clay,400 - Orange Cove 7th Day Adv,584,42,256,286
Over Votes,US House,3,,Clay,400 - Orange Cove 7th Day Adv,0,0,0,0
Under Votes,US House,3,,Clay,400 - Orange Cove 7th Day Adv,53,7,32,14
Jennifer Bradley,State Senate,5,REP,Clay,400 - Orange Cove 7th Day Adv,1764,244,1086,434
Melina Rayna Barratt,State Senate,5,DEM,Clay,400 - Orange Cove 7th Day Adv,487,36,202,249
Over Votes,State Senate,5,,Clay,400 - Orange Cove 7th Day Adv,0,0,0,0
Under Votes,State Senate,5,,Clay,400 - Orange Cove 7th Day Adv,76,9,40,27
Sam Garrison,State House,18,REP,Clay,400 - Orange Cove 7th Day Adv,1733,233,1065,435
Leroy Anthony Edwards,State House,18,DEM,Clay,400 - Orange Cove 7th Day Adv,472,33,200,239
Ken Willey,State House,18,LPF,Clay,400 - Orange Cove 7th Day Adv,44,12,22,10
Over Votes,State House,18,,Clay,400 - Orange Cove 7th Day Adv,0,0,0,0
Under Votes,State House,18,,Clay,400 - Orange Cove 7th Day Adv,78,11,41,26
Registered Voters,,,,Clay,406 - Eagle Harbor Soccer Club,2640,,,
Ballots Cast,,,,Clay,406 - Eagle Harbor Soccer Club,2187,295,1205,687
Ballots Cast Blank,,,,Clay,406 - Eagle Harbor Soccer Club,59,12,27,20
Donald J Trump,President ,,REP,Clay,406 - Eagle Harbor Soccer Club,1485,230,919,336
Joseph R Biden,President ,,DEM,Clay,406 - Eagle Harbor Soccer Club,670,54,279,337
Jo Jorgensen ,President ,,LPF,Clay,406 - Eagle Harbor Soccer Club,15,7,3,5
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,406 - Eagle Harbor Soccer Club,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,406 - Eagle Harbor Soccer Club,1,1,0,0
Howie Hawkins,President ,,GRE,Clay,406 - Eagle Harbor Soccer Club,3,0,1,2
Don Blankenship,President ,,CPF,Clay,406 - Eagle Harbor Soccer Club,0,0,0,0
Write-In,President ,,NPA,Clay,406 - Eagle Harbor Soccer Club,7,2,1,4
Over Votes,President ,,,Clay,406 - Eagle Harbor Soccer Club,1,0,0,1
Under Votes,President ,,,Clay,406 - Eagle Harbor Soccer Club,5,1,2,2
Kat Cammack,US House,3,REP,Clay,406 - Eagle Harbor Soccer Club,1510,233,919,358
Adam Christensen,US House,3,DEM,Clay,406 - Eagle Harbor Soccer Club,628,53,261,314
Over Votes,US House,3,,Clay,406 - Eagle Harbor Soccer Club,0,0,0,0
Under Votes,US House,3,,Clay,406 - Eagle Harbor Soccer Club,49,9,25,15
Jennifer Bradley,State Senate,5,REP,Clay,406 - Eagle Harbor Soccer Club,1576,233,956,387
Melina Rayna Barratt,State Senate,5,DEM,Clay,406 - Eagle Harbor Soccer Club,544,54,209,281
Over Votes,State Senate,5,,Clay,406 - Eagle Harbor Soccer Club,0,0,0,0
Under Votes,State Senate,5,,Clay,406 - Eagle Harbor Soccer Club,67,8,40,19
Sam Garrison,State House,18,REP,Clay,406 - Eagle Harbor Soccer Club,1537,223,934,380
Leroy Anthony Edwards,State House,18,DEM,Clay,406 - Eagle Harbor Soccer Club,530,54,202,274
Ken Willey,State House,18,LPF,Clay,406 - Eagle Harbor Soccer Club,52,9,28,15
Over Votes,State House,18,,Clay,406 - Eagle Harbor Soccer Club,0,0,0,0
Under Votes,State House,18,,Clay,406 - Eagle Harbor Soccer Club,68,9,41,18
Registered Voters,,,,Clay,408 - Crossroad Luth Chur,4606,,,
Ballots Cast,,,,Clay,408 - Crossroad Luth Chur,3898,527,2227,1144
Ballots Cast Blank,,,,Clay,408 - Crossroad Luth Chur,102,27,47,28
Donald J Trump,President ,,REP,Clay,408 - Crossroad Luth Chur,2733,420,1738,575
Joseph R Biden,President ,,DEM,Clay,408 - Crossroad Luth Chur,1112,94,465,553
Jo Jorgensen ,President ,,LPF,Clay,408 - Crossroad Luth Chur,28,5,14,9
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,408 - Crossroad Luth Chur,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,408 - Crossroad Luth Chur,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,408 - Crossroad Luth Chur,3,2,1,0
Don Blankenship,President ,,CPF,Clay,408 - Crossroad Luth Chur,2,0,1,1
Write-In,President ,,NPA,Clay,408 - Crossroad Luth Chur,10,4,4,2
Over Votes,President ,,,Clay,408 - Crossroad Luth Chur,0,0,0,0
Under Votes,President ,,,Clay,408 - Crossroad Luth Chur,10,2,4,4
Kat Cammack,US House,3,REP,Clay,408 - Crossroad Luth Chur,2745,421,1734,590
