candidate,office,district,party,county,precinct,votes,absentee,election_day,early_voting
Joseph R. Biden,President,,DEM,Flagler,23,1562,995,437,130
Jo Jorgensen,President,,LPF,Flagler,23,12,10,1,1
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,23,2,2,0,0
Gloria La Riva,President,,PSL,Flagler,23,1,0,1,0
Howie Hawkins,President,,GRE,Flagler,23,7,3,1,3
Don Blankenship,President,,CPF,Flagler,23,2,2,0,0
Write-In,President,,,Flagler,23,11,5,3,3
Over Votes,President,,,Flagler,23,3,0,2,1
Under Votes,President,,,Flagler,23,11,6,3,2
Michael Waltz,U.S. House,6,REP,Flagler,23,2504,866,1230,408
Clint Curtis,U.S. House,6,DEM,Flagler,23,1437,920,398,119
Write-In,U.S. House,6,,Flagler,23,1,0,0,1
Over Votes,U.S. House,6,,Flagler,23,2,0,2,0
Under Votes,U.S. House,6,,Flagler,23,141,57,53,31
Travis J Hutson,State Senate,7,REP,Flagler,23,2419,842,1191,386
Heather Hunter,State Senate,7,DEM,Flagler,23,1472,937,409,126
Write-In,State Senate,7,,Flagler,23,1,0,0,1
Over Votes,State Senate,7,,Flagler,23,0,0,0,0
Under Votes,State Senate,7,,Flagler,23,193,64,83,46
Paul Renner,State House,24,REP,Flagler,23,2433,848,1196,389
Adam Morley,State House,24,DEM,Flagler,23,1454,913,410,131
Over Votes,State House,24,,Flagler,23,0,0,0,0
Under Votes,State House,24,,Flagler,23,198,82,77,39
Registered Voters,,,,Flagler,24,3883,,,
Ballots Cast,,,,Flagler,24,3105,1341,1300,464
Ballots Cast Blank,,,,Flagler,24,0,0,0,0
Donald J. Trump,President,,REP,Flagler,24,1898,585,969,344
Joseph R. Biden,President,,DEM,Flagler,24,1165,742,311,112
Jo Jorgensen,President,,LPF,Flagler,24,14,6,5,3
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,24,0,0,0,0
Gloria La Riva,President,,PSL,Flagler,24,4,2,2,0
Howie Hawkins,President,,GRE,Flagler,24,3,0,2,1
Don Blankenship,President,,CPF,Flagler,24,2,1,0,1
Write-In,President,,,Flagler,24,6,2,1,3
Over Votes,President,,,Flagler,24,9,0,9,0
Under Votes,President,,,Flagler,24,4,3,1,0
Michael Waltz,U.S. House,6,REP,Flagler,24,1915,623,954,338
Clint Curtis,U.S. House,6,DEM,Flagler,24,1079,687,289,103
Write-In,U.S. House,6,,Flagler,24,1,0,0,1
Over Votes,U.S. House,6,,Flagler,24,1,0,1,0
Under Votes,U.S. House,6,,Flagler,24,109,31,56,22
Travis J Hutson,State Senate,7,REP,Flagler,24,1828,584,929,315
Heather Hunter,State Senate,7,DEM,Flagler,24,1103,697,289,117
Write-In,State Senate,7,,Flagler,24,1,0,0,1
Over Votes,State Senate,7,,Flagler,24,1,0,1,0
Under Votes,State Senate,7,,Flagler,24,172,60,81,31
Paul Renner,State House,24,REP,Flagler,24,1856,596,933,327
Adam Morley,State House,24,DEM,Flagler,24,1085,688,290,107
Over Votes,State House,24,,Flagler,24,0,0,0,0
Under Votes,State House,24,,Flagler,24,164,57,77,30
Registered Voters,,,,Flagler,27,6131,,,
Ballots Cast,,,,Flagler,27,4903,2144,2289,470
Ballots Cast Blank,,,,Flagler,27,1,1,0,0
Donald J. Trump,President,,REP,Flagler,27,2975,945,1692,338
Joseph R. Biden,President,,DEM,Flagler,27,1848,1166,567,115
Jo Jorgensen,President,,LPF,Flagler,27,31,11,12,8
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,27,1,1,0,0
Gloria La Riva,President,,PSL,Flagler,27,1,1,0,0
Howie Hawkins,President,,GRE,Flagler,27,8,1,3,4
Don Blankenship,President,,CPF,Flagler,27,2,0,0,2
Write-In,President,,,Flagler,27,6,2,4,0
Over Votes,President,,,Flagler,27,8,0,8,0
Under Votes,President,,,Flagler,27,23,17,3,3
Michael Waltz,U.S. House,6,REP,Flagler,27,3007,1010,1684,313
Clint Curtis,U.S. House,6,DEM,Flagler,27,1699,1049,541,109
Write-In,U.S. House,6,,Flagler,27,12,5,3,4
Over Votes,U.S. House,6,,Flagler,27,3,0,3,0
Under Votes,U.S. House,6,,Flagler,27,182,80,58,44
Travis J Hutson,State Senate,7,REP,Flagler,27,2937,969,1656,312
Heather Hunter,State Senate,7,DEM,Flagler,27,1717,1072,538,107
Write-In,State Senate,7,,Flagler,27,6,0,4,2
Over Votes,State Senate,7,,Flagler,27,2,0,2,0
Under Votes,State Senate,7,,Flagler,27,241,103,89,49
Paul Renner,State House,24,REP,Flagler,27,2941,967,1664,310
Adam Morley,State House,24,DEM,Flagler,27,1705,1054,539,112
Over Votes,State House,24,,Flagler,27,0,0,0,0
Under Votes,State House,24,,Flagler,27,257,123,86,48
Registered Voters,,,,Flagler,29,5369,,,
Ballots Cast,,,,Flagler,29,4767,2496,1739,532
Ballots Cast Blank,,,,Flagler,29,0,0,0,0
Donald J. Trump,President,,REP,Flagler,29,3082,1270,1383,429
Joseph R. Biden,President,,DEM,Flagler,29,1625,1191,337,97
Jo Jorgensen,President,,LPF,Flagler,29,24,12,7,5
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,29,1,1,0,0
Gloria La Riva,President,,PSL,Flagler,29,1,0,1,0
Howie Hawkins,President,,GRE,Flagler,29,1,1,0,0
Don Blankenship,President,,CPF,Flagler,29,1,1,0,0
Write-In,President,,,Flagler,29,11,6,5,0
Over Votes,President,,,Flagler,29,1,0,1,0
Under Votes,President,,,Flagler,29,20,14,5,1
Michael Waltz,U.S. House,6,REP,Flagler,29,3199,1370,1406,423
Clint Curtis,U.S. House,6,DEM,Flagler,29,1440,1063,293,84
Write-In,U.S. House,6,,Flagler,29,2,1,1,0
Over Votes,U.S. House,6,,Flagler,29,0,0,0,0
Under Votes,U.S. House,6,,Flagler,29,126,62,39,25
Travis J Hutson,State Senate,7,REP,Flagler,29,3118,1327,1378,413
Heather Hunter,State Senate,7,DEM,Flagler,29,1454,1063,301,90
Write-In,State Senate,7,,Flagler,29,0,0,0,0
Over Votes,State Senate,7,,Flagler,29,0,0,0,0
Under Votes,State Senate,7,,Flagler,29,195,106,60,29
Paul Renner,State House,24,REP,Flagler,29,3147,1337,1394,416
Adam Morley,State House,24,DEM,Flagler,29,1420,1037,297,86
Over Votes,State House,24,,Flagler,29,0,0,0,0
Under Votes,State House,24,,Flagler,29,200,122,48,30
Registered Voters,,,,Flagler,31,3032,,,
Ballots Cast,,,,Flagler,31,2662,1282,937,443
Ballots Cast Blank,,,,Flagler,31,0,0,0,0
Donald J. Trump,President,,REP,Flagler,31,1646,552,746,348
Joseph R. Biden,President,,DEM,Flagler,31,983,713,180,90
Jo Jorgensen,President,,LPF,Flagler,31,14,6,5,3
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,31,0,0,0,0
Gloria La Riva,President,,PSL,Flagler,31,2,1,0,1
Howie Hawkins,President,,GRE,Flagler,31,2,2,0,0
Don Blankenship,President,,CPF,Flagler,31,0,0,0,0
Write-In,President,,,Flagler,31,5,3,2,0
Over Votes,President,,,Flagler,31,2,0,1,1
Under Votes,President,,,Flagler,31,8,5,3,0
Michael Waltz,U.S. House,6,REP,Flagler,31,1688,584,750,354
Clint Curtis,U.S. House,6,DEM,Flagler,31,892,656,167,69
Write-In,U.S. House,6,,Flagler,31,3,3,0,0
Over Votes,U.S. House,6,,Flagler,31,0,0,0,0
Under Votes,U.S. House,6,,Flagler,31,79,39,20,20
Travis J Hutson,State Senate,7,REP,Flagler,31,1653,579,722,352
Heather Hunter,State Senate,7,DEM,Flagler,31,896,654,171,71
Write-In,State Senate,7,,Flagler,31,1,1,0,0
Over Votes,State Senate,7,,Flagler,31,1,0,1,0
Under Votes,State Senate,7,,Flagler,31,111,48,43,20
Paul Renner,State House,24,REP,Flagler,31,1672,588,729,355
Adam Morley,State House,24,DEM,Flagler,31,878,641,169,68
Over Votes,State House,24,,Flagler,31,0,0,0,0
Under Votes,State House,24,,Flagler,31,112,53,39,20
Registered Voters,,,,Flagler,33,4005,,,
Ballots Cast,,,,Flagler,33,3371,1580,1155,636
Ballots Cast Blank,,,,Flagler,33,0,0,0,0
Donald J. Trump,President,,REP,Flagler,33,2190,769,917,504
Joseph R. Biden,President,,DEM,Flagler,33,1154,795,233,126
Jo Jorgensen,President,,LPF,Flagler,33,8,3,1,4
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,33,0,0,0,0
Gloria La Riva,President,,PSL,Flagler,33,0,0,0,0
Howie Hawkins,President,,GRE,Flagler,33,5,3,1,1
Don Blankenship,President,,CPF,Flagler,33,0,0,0,0
Write-In,President,,,Flagler,33,7,5,1,1
Over Votes,President,,,Flagler,33,1,0,1,0
Under Votes,President,,,Flagler,33,6,5,1,0
Michael Waltz,U.S. House,6,REP,Flagler,33,2232,823,920,489
Clint Curtis,U.S. House,6,DEM,Flagler,33,1040,720,208,112
Write-In,U.S. House,6,,Flagler,33,3,0,2,1
Over Votes,U.S. House,6,,Flagler,33,0,0,0,0
Under Votes,U.S. House,6,,Flagler,33,96,37,25,34
Travis J Hutson,State Senate,7,REP,Flagler,33,2147,791,892,464
Heather Hunter,State Senate,7,DEM,Flagler,33,1061,725,215,121
Write-In,State Senate,7,,Flagler,33,4,2,1,1
Over Votes,State Senate,7,,Flagler,33,0,0,0,0
Under Votes,State Senate,7,,Flagler,33,159,62,47,50
Paul Renner,State House,24,REP,Flagler,33,2140,776,897,467
Adam Morley,State House,24,DEM,Flagler,33,1075,726,223,126
Over Votes,State House,24,,Flagler,33,0,0,0,0
Under Votes,State House,24,,Flagler,33,156,78,35,43
Registered Voters,,,,Flagler,35,2030,,,
Ballots Cast,,,,Flagler,35,1754,832,467,455
Ballots Cast Blank,,,,Flagler,35,0,0,0,0
Donald J. Trump,President,,REP,Flagler,35,1022,340,339,343
Joseph R. Biden,President,,DEM,Flagler,35,705,479,125,101
Jo Jorgensen,President,,LPF,Flagler,35,10,3,2,5
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,35,2,1,0,1
Gloria La Riva,President,,PSL,Flagler,35,0,0,0,0
Howie Hawkins,President,,GRE,Flagler,35,3,2,0,1
Don Blankenship,President,,CPF,Flagler,35,0,0,0,0
Write-In,President,,,Flagler,35,4,3,1,0
Over Votes,President,,,Flagler,35,2,0,0,2
Under Votes,President,,,Flagler,35,6,4,0,2
Michael Waltz,U.S. House,6,REP,Flagler,35,1055,378,337,340
Clint Curtis,U.S. House,6,DEM,Flagler,35,638,428,116,94
Write-In,U.S. House,6,,Flagler,35,1,0,0,1
Over Votes,U.S. House,6,,Flagler,35,0,0,0,0
Under Votes,U.S. House,6,,Flagler,35,60,26,14,20
Travis J Hutson,State Senate,7,REP,Flagler,35,1005,362,326,317
Heather Hunter,State Senate,7,DEM,Flagler,35,651,430,116,105
Write-In,State Senate,7,,Flagler,35,1,1,0,0
Over Votes,State Senate,7,,Flagler,35,0,0,0,0
Under Votes,State Senate,7,,Flagler,35,97,39,25,33
Paul Renner,State House,24,REP,Flagler,35,1006,360,327,319
Adam Morley,State House,24,DEM,Flagler,35,656,426,121,109
Over Votes,State House,24,,Flagler,35,0,0,0,0
Under Votes,State House,24,,Flagler,35,92,46,19,27
Registered Voters,,,,Flagler,37,3025,,,
Ballots Cast,,,,Flagler,37,2575,1278,941,356
Ballots Cast Blank,,,,Flagler,37,0,0,0,0
Donald J. Trump,President,,REP,Flagler,37,1656,629,739,288
Joseph R. Biden,President,,DEM,Flagler,37,879,629,190,60
Jo Jorgensen,President,,LPF,Flagler,37,15,8,5,2
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,37,1,0,1,0
Gloria La Riva,President,,PSL,Flagler,37,1,0,0,1
Howie Hawkins,President,,GRE,Flagler,37,1,0,1,0
Don Blankenship,President,,CPF,Flagler,37,1,0,1,0
Write-In,President,,,Flagler,37,5,2,0,3
Over Votes,President,,,Flagler,37,3,0,3,0
Under Votes,President,,,Flagler,37,13,10,1,2
Michael Waltz,U.S. House,6,REP,Flagler,37,1685,657,739,289
Clint Curtis,U.S. House,6,DEM,Flagler,37,814,582,178,54
Write-In,U.S. House,6,,Flagler,37,0,0,0,0
Over Votes,U.S. House,6,,Flagler,37,1,0,1,0
Under Votes,U.S. House,6,,Flagler,37,75,39,23,13
Travis J Hutson,State Senate,7,REP,Flagler,37,1632,633,723,276
Heather Hunter,State Senate,7,DEM,Flagler,37,810,576,174,60
Write-In,State Senate,7,,Flagler,37,2,2,0,0
Over Votes,State Senate,7,,Flagler,37,0,0,0,0
Under Votes,State Senate,7,,Flagler,37,131,67,44,20
Paul Renner,State House,24,REP,Flagler,37,1643,640,727,276
Adam Morley,State House,24,DEM,Flagler,37,804,571,173,60
Over Votes,State House,24,,Flagler,37,0,0,0,0
Under Votes,State House,24,,Flagler,37,128,67,41,20
Registered Voters,,,,Flagler,999,0,,,
Ballots Cast,,,,Flagler,999,22,22,0,0
Ballots Cast Blank,,,,Flagler,999,0,0,0,0
Donald J. Trump,President,,REP,Flagler,999,8,8,0,0
Joseph R. Biden,President,,DEM,Flagler,999,12,12,0,0
Jo Jorgensen,President,,LPF,Flagler,999,2,2,0,0
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,999,0,0,0,0
Gloria La Riva,President,,PSL,Flagler,999,0,0,0,0
Howie Hawkins,President,,GRE,Flagler,999,0,0,0,0
Don Blankenship,President,,CPF,Flagler,999,0,0,0,0
Write-In,President,,,Flagler,999,0,0,0,0
Over Votes,President,,,Flagler,999,0,0,0,0
Under Votes,President,,,Flagler,999,0,0,0,0
Michael Waltz,U.S. House,6,REP,Flagler,999,8,8,0,0
Clint Curtis,U.S. House,6,DEM,Flagler,999,11,11,0,0
Write-In,U.S. House,6,,Flagler,999,1,1,0,0
Over Votes,U.S. House,6,,Flagler,999,0,0,0,0
Under Votes,U.S. House,6,,Flagler,999,2,2,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
